lambda 				Ln-Likelihood
0.01	     			-2964.5346714781035
0.010981963927855712	     			-2964.446894070474
0.011963927855711423	     			-2964.367144027597
0.012945891783567136	     			-2964.294153420774
0.013927855711422847	     			-2964.226932862559
0.014909819639278558	     			-2964.1646954568578
0.01589178356713427	     			-2964.1068050536232
0.01687374749498998	     			-2964.0527400445826
0.017855711422845692	     			-2964.0020674149214
0.018837675350701404	     			-2963.9544237506952
0.019819639278557115	     			-2963.9095010779038
0.020801603206412826	     			-2963.867036129368
0.021783567134268537	     			-2963.82680208954
0.02276553106212425	     			-2963.788602160947
0.02374749498997996	     			-2963.752264490226
0.02472945891783567	     			-2963.717638122897
0.025711422845691383	     			-2963.6845897463136
0.026693386773547094	     			-2963.653001043396
0.027675350701402805	     			-2963.6227665246543
0.028657314629258517	     			-2963.5937917383767
0.029639278557114228	     			-2963.565991782487
0.03062124248496994	     			-2963.5392900590386
0.03160320641282565	     			-2963.513617225369
0.03258517034068136	     			-2963.4889103057917
0.03356713426853708	     			-2963.4651119352075
0.03454909819639279	     			-2963.44216971181
0.0355310621242485	     			-2963.4200356405263
0.036513026052104214	     			-2963.398665652348
0.037494989979959925	     			-2963.3780191874607
0.038476953907815636	     			-2963.35805883228
0.03945891783567135	     			-2963.33875000223
0.04044088176352706	     			-2963.320060663523
0.04142284569138277	     			-2963.3019610883216
0.04240480961923848	     			-2963.2844236385927
0.04338677354709419	     			-2963.267422574701
0.044368737474949904	     			-2963.250933885436
0.045350701402805615	     			-2963.2349351366383
0.04633266533066133	     			-2963.2194053360467
0.04731462925851704	     			-2963.204324812321
0.04829659318637275	     			-2963.1896751064887
0.04927855711422846	     			-2963.1754388743243
0.05026052104208417	     			-2963.161599798355
0.05124248496993988	     			-2963.1481425083834
0.052224448897795595	     			-2963.135052509557
0.053206412825651306	     			-2963.122316117133
0.05418837675350702	     			-2963.1099203972135
0.05517034068136273	     			-2963.0978531128007
0.05615230460921844	     			-2963.0861026746134
0.05713426853707416	     			-2963.074658096165
0.05811623246492987	     			-2963.0635089526704
0.05909819639278558	     			-2963.0526453433968
0.06008016032064129	     			-2963.0420578571166
0.061062124248497	     			-2963.0317375403606
0.062044088176352714	     			-2963.0216758682036
0.06302605210420842	     			-2963.011864717346
0.06400801603206413	     			-2963.0022963412725
0.06498997995991984	     			-2962.9929633473075
0.06597194388777555	     			-2962.983858675385
0.06695390781563126	     			-2962.9749755783923
0.06793587174348698	     			-2962.9663076039415
0.06891783567134269	     			-2962.957848577451
0.0698997995991984	     			-2962.9495925864217
0.07088176352705411	     			-2962.941533965812
0.07186372745490982	     			-2962.9336672844197
0.07284569138276553	     			-2962.9259873321844
0.07382765531062124	     			-2962.9184891083437
0.07480961923847695	     			-2962.9111678103714
0.07579158316633267	     			-2962.904018823635
0.07677354709418838	     			-2962.89703771172
0.07775551102204409	     			-2962.89022020737
0.0787374749498998	     			-2962.883562203996
0.07971943887775551	     			-2962.877059747708
0.08070140280561122	     			-2962.8707090298376
0.08168336673346693	     			-2962.8645063799136
0.08266533066132264	     			-2962.8584482590545
0.08364729458917836	     			-2962.852531253753
0.08462925851703407	     			-2962.8467520700233
0.08561122244488978	     			-2962.8411075278846
0.08659318637274549	     			-2962.83559455616
0.0875751503006012	     			-2962.8302101875693
0.08855711422845691	     			-2962.824951554095
0.08953907815631262	     			-2962.819815882604
0.09052104208416833	     			-2962.8148004907057
0.09150300601202405	     			-2962.8099027828375
0.09248496993987976	     			-2962.8051202465576
0.09346693386773547	     			-2962.8004504490314
0.09444889779559118	     			-2962.795891033705
0.09543086172344689	     			-2962.791439717149
0.0964128256513026	     			-2962.7870942860636
0.09739478957915831	     			-2962.7828525944356
0.09837675350701403	     			-2962.7787125608393
0.09935871743486974	     			-2962.774672165869
0.10034068136272545	     			-2962.770729449702
0.10132264529058116	     			-2962.766882509772
0.10230460921843687	     			-2962.763129498567
0.10328657314629258	     			-2962.7594686215207
0.10426853707414831	     			-2962.75589813501
0.10525050100200402	     			-2962.7524163444446
0.10623246492985973	     			-2962.7490216024466
0.10721442885771544	     			-2962.7457123071113
0.10819639278557115	     			-2962.7424869003503
0.10917835671342686	     			-2962.7393438663066
0.11016032064128257	     			-2962.736281729842
0.11114228456913829	     			-2962.7332990550944
0.112124248496994	     			-2962.730394444091
0.11310621242484971	     			-2962.7275665354314
0.11408817635270542	     			-2962.72481400302
0.11507014028056113	     			-2962.7221355548577
0.11605210420841684	     			-2962.71952993188
0.11703406813627255	     			-2962.7169959068506
0.11801603206412827	     			-2962.7145322832953
0.11899799599198398	     			-2962.7121378944835
0.11997995991983969	     			-2962.709811602449
0.1209619238476954	     			-2962.7075522970536
0.12194388777555111	     			-2962.705358895087
0.12292585170340682	     			-2962.7032303394017
0.12390781563126253	     			-2962.701165598084
0.12488977955911824	     			-2962.6991636636594
0.12587174348697397	     			-2962.6972235523226
0.12685370741482968	     			-2962.695344303206
0.1278356713426854	     			-2962.6935249776693
0.1288176352705411	     			-2962.691764658621
0.12979959919839681	     			-2962.6900624498626
0.13078156312625253	     			-2962.6884174754596
0.13176352705410824	     			-2962.686828879134
0.13274549098196395	     			-2962.685295823682
0.13372745490981966	     			-2962.6838174904105
0.13470941883767537	     			-2962.6823930785963
0.13569138276553108	     			-2962.6810218049627
0.1366733466933868	     			-2962.679702903178
0.1376553106212425	     			-2962.678435623369
0.13863727454909822	     			-2962.6772192316525
0.13961923847695393	     			-2962.6760530096867
0.14060120240480964	     			-2962.674936254232
0.14158316633266535	     			-2962.6738682767327
0.14256513026052106	     			-2962.67284840291
0.14354709418837677	     			-2962.671875972371
0.14452905811623248	     			-2962.6709503382294
0.1455110220440882	     			-2962.6700708667395
0.1464929859719439	     			-2962.669236936943
0.14747494989979962	     			-2962.6684479403275
0.14845691382765533	     			-2962.667703280495
0.14943887775551104	     			-2962.6670023728443
0.15042084168336675	     			-2962.6663446442603
0.15140280561122246	     			-2962.6657295328155
0.15238476953907817	     			-2962.6651564874815
0.15336673346693389	     			-2962.664624967847
0.1543486973947896	     			-2962.664134443849
0.1553306613226453	     			-2962.66368439551
0.15631262525050102	     			-2962.6632743126806
0.15729458917835673	     			-2962.6629036947984
0.15827655310621244	     			-2962.662572050646
0.15925851703406815	     			-2962.6622788981194
0.16024048096192386	     			-2962.6620237640063
0.16122244488977958	     			-2962.6618061837676
0.1622044088176353	     			-2962.661625701325
0.163186372745491	     			-2962.661481868861
0.1641683366733467	     			-2962.661374246616
0.16515030060120242	     			-2962.661302402699
0.16613226452905813	     			-2962.6612659129
0.16711422845691384	     			-2962.66126436051
0.16809619238476955	     			-2962.661297336142
0.16907815631262527	     			-2962.661364437565
0.17006012024048098	     			-2962.6614652695357
0.1710420841683367	     			-2962.6615994436365
0.1720240480961924	     			-2962.661766578122
0.1730060120240481	     			-2962.661966297764
0.17398797595190382	     			-2962.662198233707
0.17496993987975953	     			-2962.662462023323
0.17595190380761525	     			-2962.662757310072
0.17693386773547096	     			-2962.6630837433663
0.17791583166332667	     			-2962.663440978441
0.17889779559118238	     			-2962.663828676223
0.1798797595190381	     			-2962.664246503207
0.1808617234468938	     			-2962.6646941313356
0.1818436873747495	     			-2962.66517123788
0.18282565130260522	     			-2962.665677505325
0.18380761523046094	     			-2962.66621262126
0.18478957915831665	     			-2962.666776278266
0.18577154308617236	     			-2962.6673681738125
0.18675350701402807	     			-2962.6679880101537
0.18773547094188378	     			-2962.668635494229
0.1887174348697395	     			-2962.6693103375637
0.1896993987975952	     			-2962.6700122561747
0.19068136272545091	     			-2962.6707409704777
0.19166332665330663	     			-2962.671496205197
0.19264529058116234	     			-2962.672277689276
0.19362725450901805	     			-2962.673085155795
0.19460921843687376	     			-2962.673918341882
0.19559118236472947	     			-2962.6747769886365
0.19657314629258518	     			-2962.6756608410465
0.1975551102204409	     			-2962.6765696479124
0.19853707414829663	     			-2962.677503161772
0.19951903807615234	     			-2962.678461138825
0.20050100200400806	     			-2962.6794433388613
0.20148296593186377	     			-2962.680449525194
0.20246492985971948	     			-2962.6814794645857
0.2034468937875752	     			-2962.6825329271865
0.2044288577154309	     			-2962.6836096864654
0.2054108216432866	     			-2962.6847095191483
0.20639278557114232	     			-2962.685832205156
0.20737474949899803	     			-2962.686977527543
0.20835671342685375	     			-2962.6881452724383
0.20933867735470946	     			-2962.689335228987
0.21032064128256517	     			-2962.690547189296
0.21130260521042088	     			-2962.6917809483753
0.2122845691382766	     			-2962.6930363040883
0.2132665330661323	     			-2962.6943130570958
0.214248496993988	     			-2962.695611010806
